address,symbol,name,decimals,total_supply,block_number
0xa356c43106dda46efd9b064626d7ec559fc9c6c0,BLP,BnEX LP Token,18,46023433282257,
0xa2109fb6e2e719ae81c010d66130d532278886e7,BLP,BSCswap LP Token,18,208679190905926801,
0xa527a61703d82139f8a06bc30097cc9caa2df5a6,Cake-LP,Pancake LPs,18,4459995010274133514431190,
0xa6381c6fd8f40a44721ef4f61edc1a8ccca7bf3d,BHC,BillionHappiness,18,1000000000000000000000000,
0xa7463c3163962b12aeb623147c2043bb54834962,DNFT,Dish NFT,,409,
0xacb550a39a7eb7167a3c05fac1da289bc3bcad3a,FARMER,FARM NFT TOKEN,,315,
0xacf34fa54dd344e1965a34168fa98bdba4c5b063,BLP,BnEX LP Token,18,2076461712090338555955,
0xaa46e2c21b7763a73db48e9b318899253e66e20c,crXRP,Cream XRP,8,1144453231134128,
0xacd6b5f76db153fb45eae6d5be5bdbd45d1b2a8c,PEACH,PeachToken,18,8322066975811224680639,
0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,BAND,Band Protocol Token,18,2200000000000000000000000,
0xadcfec0dcb490a5657576e84d7ae088a78892dcb,STLP,Stormswap LP Token,18,31403045632435858865,
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,BURGER,Burger Swap,18,12302308062520848912442677,
0xaebe45e3a03b734c68e5557ae04bfc76917b4686,Cake-LP,Pancake LPs,18,137106370051069988647984,
0xaed046bc0b75c93ed48e54c1f88fad34f9aed3b0,TLP,TunaSwap LP Token,18,387173888366175961710089,
0xaf4ff2c5df5b6b3f9353fdea63042814fd72afb0,TLP,TunaSwap LP Token,18,59784821381861794290,
0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,PROM,Prometeus,18,20000000000000000000000000,
0xafa4f3d72f0803b50c99663b3e90806d9d290770,BFI,BFis.Finance,18,19000000000000000000000,
0xb20c3c3f44b2af0ee93ab5ebddb32acca0fe04a2,TOK,Token,18,1000000000000000000000000,
0xb1090cf72046334943847762f0028ce0047e2b4b,PLP,PeachSwap LP Token,18,4054134359338260667,
0xb31f5d117541825d6692c10e4357008edf3e2bcd,crETH,Cream Ethereum Token,8,37361189567092,
0xb4da31c48259c63bbee5ab7221e40754a44db87a,WBNB_FARM_LP,Farm-LP-Token,18,7586005864594762066342,
0xb45b47121d1254d9bdc9f446213d9c2e0e299c4c,DPZ,DefiPlebz,5,8100000000,
0xba51d1ab95756ca4eab8737ecd450cd8f05384cf,Cake-LP,Pancake LPs,18,814619874157312347003158,
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,Wrapped BNB,18,6929203595459054697428034,
0xb5c15fd55c73d9beec046cb4dace1e7975dcbbbc,fBTCB,ForTube BTCB,18,157448703521594442945,
0xbcd62661a6b1ded703585d3af7d7649ef4dcdb5c,Cake-LP,Pancake LPs,18,345249749314711114591652,
0xbcf3278098417e23d941613ce36a7ce9428724a5,BLP,Bakery LPs,18,1060416813888267792348220,
0xbf9213d046c2c1e6775da2363fc47f10c4471255,fUSDT,ForTube USDT,18,2662421872399989087785179,
0xbf6728454b96a36c720c1bbcae5773aaafd6959b,SPT1-BUSD,SpartanPoolV1-BUSD Token,18,446942399747263725327166,
0xc0e7ba97e9c802656c2b3ea8f27fad6e60f0a795,STORM,StormToken,18,110254834917829948489791,
0xc2eed0f5a0dc28cfa895084bc0a9b8b8279ae492,BLP,Bakery LPs,18,279869802451762638711686,
0xc15fa3e22c912a276550f3e5fe3b0deb87b55acd,Cake-LP,Pancake LPs,18,38744306364041914951045387,
0xc639187ef82271d8f517de6feae4faf5b517533c,Cake-LP,Pancake LPs,18,126278360338776318338365,
0xc6229b94bb690beccd2c268b155471f1194a3846,FARM_BUSD_LP,Farm-LP-Token,18,7821801954006250175051,
0xc689f249622bc93b117404f74a1ba232183730c3,BLP,BSCswap LP Token,18,2364751406466288882,
0xca3f508b8e4dd382ee878a314789373d80a5190a,BIFI,beefy.finance,18,80000000000000000000000,
